Object Class;Mean green (44411C83-609B-4758-93D3-FF62DF246855);Standard deviation green (4B11667E-1449-440f-8D7B-0A4D90E62B3E);Mean red (44411C83-609B-4758-93D3-FF62DF246855);Standard deviation red (4B11667E-1449-440f-8D7B-0A4D90E62B3E);Mean LidarCHM (44411C83-609B-4758-93D3-FF62DF246855);Standard deviation LidarCHM (4B11667E-1449-440f-8D7B-0A4D90E62B3E);Mean VARI (44411C83-609B-4758-93D3-FF62DF246855);Compactness (1F03F8EB-A21A-4d53-B9DA-391FFE1B804D);Asymmetry (D9CC01FF-7C3D-4861-9608-38D8EB2D3CCC);Roundness (10DB8137-DB64-4e20-803F-9356BF3DB4A8);GLCM Mean (all dir.) (36BF5FD8-6AC1-4ef2-A967-255B5ACF270B);GLCM StdDev (all dir.) (A8922BC5-0EB5-416b-90C4-AF11449257FB)
Eucalyptus propinqua;85.3429489135742;37.262580871582;88.8678512573242;45.9296951293945;24.3293628692627;2.60278630256653;-0.0126226777210832;1.92357003688812;0.190005153417587;1.25298154354095;128.718566894531;37.9008941650391
Eucalyptus propinqua;150.130218505859;48.4241828918457;162.179321289063;53.064338684082;19.9758281707764;3.91018509864807;-0.0243803653866053;2.23376727104187;0.775010228157043;1.41622042655945;125.46834564209;38.0292053222656
Eucalyptus propinqua;159.724670410156;23.0175628662109;182.44889831543;24.8666687011719;29.2193832397461;3.35790133476257;-0.0426083169877529;2.0039849281311;0.538268804550171;0.818177700042725;126.375709533691;36.1507225036621
Eucalyptus propinqua;75.8812713623047;29.2896842956543;73.3600463867188;30.7747402191162;21.1880912780762;7.21061754226685;0.0104060489684343;3.28124856948853;0.663520932197571;1.97788047790527;130.053665161133;37.4518890380859
Eucalyptus propinqua;97.974006652832;37.1793365478516;100.670883178711;42.9009895324707;27.96604347229;3.06639528274536;-0.00831149611622095;3.89024043083191;0.751713752746582;2.2218234539032;128.729797363281;38.3227424621582
Eucalyptus propinqua;142.783767700195;40.2494316101074;160.430374145508;44.198070526123;21.9478721618652;10.0528984069824;-0.0362377539277077;3.40941333770752;0.620686709880829;2.0212676525116;124.855812072754;37.9627876281738
Eucalyptus propinqua;149.491943359375;47.1599235534668;161.050643920898;52.5397567749023;26.8662948608398;0.697541952133179;-0.0237379651516676;2.07897520065308;0.243705540895462;1.31016862392426;126.195121765137;37.1391067504883
Eucalyptus propinqua;139.464416503906;43.4881324768066;155.891418457031;49.0161781311035;16.6774940490723;9.22046279907227;-0.0350009612739086;3.64937400817871;0.410680830478668;2.03550577163696;125.687782287598;37.4028701782227
Eucalyptus propinqua;102.575317382813;39.4761199951172;117.440879821777;45.4108924865723;21.8989734649658;2.63435339927673;-0.0419819429516792;2.25979924201965;0.629181563854218;1.29809141159058;128.594985961914;37.2690467834473
Eucalyptus propinqua;161.574798583984;26.8669872283936;182.813232421875;30.7729949951172;27.1789016723633;4.77431631088257;-0.0397980213165283;1.86370515823364;0.245644792914391;1.03850245475769;126.249015808105;36.3310127258301
Eucalyptus propinqua;152.23649597168;33.3253898620605;175.594207763672;36.2855606079102;25.8782596588135;3.31272959709167;-0.0448043458163738;2.10233402252197;0.442485630512238;0.980226516723633;126.168106079102;36.8029365539551
Eucalyptus propinqua;112.61009979248;31.8073787689209;140.833618164063;35.5714721679688;16.6781558990479;11.3612813949585;-0.0697902888059616;3.22579097747803;0.671568810939789;2.03005743026733;128.079360961914;37.9132080078125
Eucalyptus propinqua;55.8167114257813;24.9992141723633;51.0522918701172;26.6663608551025;17.0921478271484;6.25965738296509;0.0270608104765415;2.49730467796326;0.514936804771423;1.45545279979706;127.07479095459;35.6143951416016
Eucalyptus propinqua;156.18635559082;39.7973403930664;171.183624267578;43.2418212890625;22.2405643463135;3.3304545879364;-0.0288280453532934;3.14032602310181;0.66268390417099;1.77859103679657;124.476188659668;38.7488098144531
Eucalyptus propinqua;140.35530090332;41.2368049621582;157.926879882813;45.9537048339844;23.9492435455322;5.3447790145874;-0.037154708057642;2.82309079170227;0.308127015829086;1.34840703010559;124.617156982422;38.9057121276855
Eucalyptus propinqua;153.795440673828;33.1392555236816;176.235641479492;36.4268379211426;23.6888256072998;3.93085980415344;-0.0428105890750885;2.1417715549469;0.259687006473541;1.17614185810089;126.212280273438;37.0904312133789
Eucalyptus propinqua;142.756927490234;36.513427734375;170.73811340332;40.2454986572266;28.593132019043;1.19243931770325;-0.0564256832003593;2.85468316078186;0.780707240104675;2.09090948104858;127.189636230469;36.445972442627
Eucalyptus propinqua;133.39616394043;33.21044921875;162.317199707031;33.7536888122559;5.62022495269775;3.7886221408844;-0.0596821382641792;2.29090404510498;0.438579380512238;1.12389063835144;126.687286376953;36.6489067077637
Eucalyptus propinqua;156.440277099609;40.9438247680664;176.823165893555;44.2480735778809;26.5483493804932;0.855863153934479;-0.0383575186133385;2.00194263458252;0.484328001737595;0.867266118526459;126.092247009277;36.7419967651367
Eucalyptus propinqua;59.8385009765625;28.2504558563232;68.7743988037109;31.6048717498779;26.7625885009766;2.80447840690613;-0.0447763167321682;4.25065279006958;0.60009777545929;2.28821611404419;129.900238037109;38.8797454833984
Eucalyptus propinqua;127.103164672852;27.9400177001953;149.930099487305;29.8931331634521;24.2983722686768;5.8397912979126;-0.0524593852460384;3.06812286376953;0.715062260627747;1.88958537578583;125.214317321777;38.1873435974121
Eucalyptus propinqua;117.23747253418;23.3544044494629;148.162750244141;24.397367477417;20.3820114135742;5.7070460319519;-0.0729286968708038;3.03841018676758;0.786925971508026;1.47166395187378;126.165641784668;37.1630325317383
Eucalyptus siderophloia;156.461090087891;41.554256439209;186.54248046875;43.1399536132813;26.0185298919678;7.82746744155884;-0.0564869567751884;2.45329809188843;0.601867496967316;1.18946063518524;127.00121307373;36.2491569519043
Eucalyptus siderophloia;157.683959960938;39.7814025878906;171.982711791992;43.7315902709961;24.4223327636719;1.98821294307709;-0.0283263344317675;2.56279754638672;0.6492058634758;1.32702076435089;126.277572631836;37.0765380859375
Eucalyptus siderophloia;174.037155151367;38.1550598144531;191.016845703125;39.7301368713379;25.6212463378906;10.5110692977905;-0.0306061934679747;2.11135935783386;0.696988224983215;1.28919577598572;126.256706237793;36.9101066589355
Eucalyptus siderophloia;185.804428100586;32.6243438720703;212.594314575195;30.8795375823975;13.995099067688;10.2773122787476;-0.0435734651982784;2.23638701438904;0.652884066104889;1.22868120670319;125.156425476074;38.2775077819824
Eucalyptus siderophloia;143.789169311523;43.9488830566406;166.095504760742;46.7934532165527;26.8428592681885;1.17459893226624;-0.0457693710923195;1.88467252254486;0.274223506450653;0.751768708229065;127.405090332031;36.5511016845703
Eucalyptus siderophloia;128.048858642578;41.0511779785156;148.538909912109;44.1489219665527;23.0537948608398;6.29248380661011;-0.0465092323720455;2.71113967895508;0.801469504833221;1.51815521717072;128.315338134766;36.9017639160156
Eucalyptus siderophloia;167.366729736328;35.3808784484863;197.252593994141;36.170841217041;26.1383972167969;0.74924635887146;-0.0521677620708942;3.81175661087036;0.900566160678864;1.8900955915451;124.804328918457;37.7453346252441
Eucalyptus siderophloia;167.613586425781;42.9875411987305;185.808868408203;44.4756813049316;16.7797660827637;4.95182704925537;-0.0335383825004101;3.61274123191833;0.660702764987946;2.07828617095947;126.060111999512;37.4585418701172
Eucalyptus siderophloia;181.141967773438;32.5352935791016;210.445831298828;31.1132392883301;23.8473072052002;9.27010726928711;-0.0481336750090122;2.45666289329529;0.619405090808868;1.76837050914764;126.227638244629;35.5979995727539
Eucalyptus siderophloia;150.402465820313;39.4167098999023;163.460205078125;42.387336730957;20.7949771881104;6.46904134750366;-0.0262211691588163;2.21264743804932;0.743836939334869;1.31583726406097;124.836982727051;37.8886070251465
Eucalyptus siderophloia;167.678298950195;43.2890510559082;191.539627075195;44.9234046936035;26.823127746582;2.21236228942871;-0.0432627014815807;2.18918180465698;0.389419257640839;0.817561984062195;126.484939575195;36.5260543823242
Eucalyptus siderophloia;91.3231887817383;39.6132049560547;94.0826034545898;44.6009826660156;17.0431823730469;3.29074501991272;-0.00925848074257374;3.49374866485596;0.86814934015274;1.98419654369354;127.979766845703;37.9359970092773
Eucalyptus siderophloia;159.784530639648;37.3842430114746;180.46955871582;40.1296691894531;16.8634700775146;6.01484060287476;-0.0396443605422974;3.66344380378723;0.667314827442169;1.75034928321838;125.411598205566;37.756649017334
Eucalyptus siderophloia;154.868057250977;48.4412002563477;170.661392211914;52.9033355712891;17.6692924499512;1.2158123254776;-0.0313057228922844;2.37899136543274;0.539871513843536;1.22745883464813;126.04460144043;38.0519104003906
Eucalyptus siderophloia;173.501800537109;29.3958435058594;206.730651855469;30.4365291595459;19.8836193084717;1.54704308509827;-0.0571915693581104;2.61409139633179;0.256788402795792;1.45371985435486;126.594123840332;36.3804244995117
Eucalyptus siderophloia;115.495140075684;36.0464897155762;138.287948608398;40.2877998352051;17.4764766693115;2.63488864898682;-0.0560317821800709;2.23860263824463;0.579749345779419;1.44281458854675;127.169143676758;37.0917930603027
Eucalyptus siderophloia;157.179382324219;27.1626853942871;179.509429931641;29.92405128479;24.5484142303467;5.6120138168335;-0.0422732569277287;2.90143346786499;0.68636953830719;1.74448263645172;125.683647155762;36.3649940490723
Eucalyptus siderophloia;138.953765869141;32.4150657653809;164.090942382813;34.1450881958008;19.5961894989014;6.89684772491455;-0.0527509152889252;2.16343283653259;0.654581904411316;1.12494623661041;126.515823364258;36.7124900817871
Eucalyptus siderophloia;139.669357299805;24.3328838348389;158.675857543945;26.669490814209;25.6925811767578;2.94357776641846;-0.0412369295954704;3.84897971153259;0.430292040109634;1.98033833503723;125.88207244873;37.6324806213379
Eucalyptus siderophloia;78.2795257568359;22.49924659729;86.7966613769531;26.4143714904785;20.534330368042;4.1523904800415;-0.0325884260237217;3.78694081306458;0.56071799993515;2.00148892402649;129.875869750977;39.0312156677246
Eucalyptus siderophloia;134.189849853516;27.4229030609131;163.780944824219;26.6904888153076;13.2463207244873;8.51597690582275;-0.06364406645298;2.46999001502991;0.84489494562149;1.79571950435638;126.006782531738;37.0517120361328
Eucalyptus siderophloia;122.073699951172;32.5300102233887;146.572463989258;35.1435508728027;22.9378356933594;6.38166189193726;-0.0587219931185246;1.86286473274231;0.522177457809448;1.18060183525085;127.22794342041;37.0888786315918
Eucalyptus siderophloia;137.346313476563;22.8961238861084;161.320770263672;23.0071926116943;25.7752380371094;0.965611517429352;-0.0515218265354633;2.08474564552307;0.649092972278595;1.80457353591919;124.766006469727;38.6598358154297
Eucalyptus siderophloia;161.986541748047;31.5905590057373;176.592010498047;31.2460498809814;20.2025184631348;7.17114925384521;-0.0283426586538553;3.703852891922;0.822240829467773;2.14014220237732;124.508033752441;37.4786033630371
Eucalyptus siderophloia;135.234130859375;30.5636615753174;158.25422668457;33.5669708251953;24.6297245025635;5.64976501464844;-0.050215270370245;2.05905199050903;0.568920612335205;1.21113932132721;127.086265563965;36.5501403808594
Eucalyptus siderophloia;135.875549316406;34.6390342712402;152.784530639648;36.7641525268555;21.094331741333;1.99511516094208;-0.0374679118394852;2.33025693893433;0.773671209812164;1.62550449371338;126.07105255127;36.935920715332
Eucalyptus siderophloia;77.7488784790039;35.5982627868652;87.0693664550781;42.7870559692383;14.3616189956665;12.7701282501221;-0.0364494286477566;4.09281587600708;0.957638800144196;2.53804206848145;128.038604736328;37.0840263366699
Eucalyptus siderophloia;109.01326751709;31.7367095947266;133.185897827148;35.821174621582;18.7685050964355;5.46675157546997;-0.0634011924266815;2.69452404975891;0.364170908927917;1.40899133682251;126.682716369629;36.5055541992188
Corymbia intermedia;158.203994750977;34.8385467529297;191.345840454102;36.3748512268066;22.0757617950439;1.53452682495117;-0.05966791883111;2.34293985366821;0.209879040718079;1.53640758991241;124.25284576416;38.0354461669922
Corymbia intermedia;152.149765014648;37.6183090209961;186.648620605469;38.9979515075684;16.6332454681396;7.00392961502075;-0.0634959861636162;2.20202875137329;0.705307066440582;1.21204841136932;126.335289001465;35.9102897644043
Corymbia intermedia;97.7008972167969;28.7844619750977;108.349761962891;33.5336418151855;18.652006149292;4.1334662437439;-0.0326331779360771;3.82718944549561;0.359284907579422;2.26687288284302;130.505187988281;39.2384872436523
Corymbia intermedia;116.414474487305;44.565544128418;128.032165527344;49.6567573547363;18.9446563720703;8.81440830230713;-0.0291418172419071;3.34840774536133;0.70877069234848;1.86726891994476;128.172912597656;37.9322128295898
Corymbia intermedia;179.91667175293;28.7183704376221;207.977722167969;29.8092346191406;17.4641151428223;0.586773097515106;-0.0460184663534164;2.91265606880188;0.356088161468506;2.06587219238281;123.601760864258;39.4196624755859
Corymbia intermedia;156.268005371094;39.7621383666992;186.180160522461;41.9585380554199;23.2666187286377;0.875819563865662;-0.0550451166927814;2.72809910774231;0.407980114221573;1.38513469696045;125.045532226563;37.6940689086914
Corymbia intermedia;72.3291473388672;31.7410659790039;74.0959625244141;35.5087280273438;23.9804000854492;1.81645679473877;-0.00736875552684069;2.20127964019775;0.894872069358826;1.40162873268127;129.938903808594;39.0099334716797
Corymbia intermedia;134.107803344727;25.9543190002441;170.865814208984;27.7230014801025;11.6167936325073;10.9614934921265;-0.0775243565440178;2.06179094314575;0.86902517080307;1.54803824424744;127.056945800781;36.5277824401855
Corymbia intermedia;90.5024032592773;27.6738014221191;114.397064208984;36.8499412536621;10.3871030807495;9.67353248596191;-0.0747229680418968;2.12023997306824;0.761837542057037;1.10288393497467;126.850471496582;35.0104637145996
Corymbia intermedia;112.261772155762;36.4272079467773;138.014236450195;40.8539848327637;19.8372459411621;6.05005216598511;-0.0645300522446632;2.9347882270813;0.577156722545624;1.69041132926941;127.087684631348;37.0219573974609
Corymbia intermedia;81.2128982543945;34.1977233886719;84.1752014160156;39.5356941223145;25.6763038635254;2.54044723510742;-0.0111003816127777;2.77510261535645;0.825351417064667;1.8975955247879;128.902313232422;37.4151039123535
Corymbia intermedia;130.849914550781;33.6161766052246;154.630447387695;35.9229469299316;23.6107292175293;4.42920541763306;-0.0526583008468151;1.75707149505615;0.52316278219223;0.925577759742737;126.783012390137;36.6076126098633
Corymbia intermedia;151.689590454102;19.0089435577393;185.882553100586;19.2037830352783;20.7764911651611;4.2975492477417;-0.0652268901467323;2.81577157974243;0.78570830821991;1.7709983587265;126.191505432129;36.6726036071777
Lophostemon confertus;145.676910400391;37.6034088134766;177.901351928711;43.8887825012207;25.3987121582031;4.56801795959473;-0.0600138641893864;2.02668642997742;0.552825391292572;1.14791083335876;125.535575866699;37.0260925292969
Lophostemon confertus;141.110778808594;40.6274833679199;168.3642578125;50.0124816894531;24.8032817840576;1.81723713874817;-0.0527258217334747;2.54228520393372;0.399774461984634;1.66386139392853;126.379051208496;37.0246276855469
Lophostemon confertus;78.5429763793945;38.222599029541;69.5083694458008;42.3419799804688;27.5049724578857;3.66593956947327;0.0371827594935894;1.84858620166779;0.787694275379181;0.995152592658997;127.667610168457;36.8412933349609
Lophostemon confertus;54.1484336853027;26.5625343322754;44.0264434814453;28.4317378997803;15.1104583740234;5.77840137481689;0.0627698376774788;1.89921379089355;0.551267087459564;0.854054868221283;126.757934570313;34.1925163269043
Lophostemon confertus;41.8380966186523;10.863335609436;29.1407794952393;11.038779258728;15.1398468017578;3.89120841026306;0.105193316936493;2.19723200798035;0.344268202781677;1.33786559104919;128.413528442383;34.771671295166
Lophostemon confertus;71.2645568847656;39.8999290466309;77.875114440918;45.5919151306152;17.1345729827881;9.40957546234131;-0.0261433403939009;2.45139789581299;0.388491839170456;1.59944474697113;128.359756469727;36.619441986084
Lophostemon confertus;83.1211318969727;39.2587852478027;92.8178482055664;45.3154563903809;20.4530162811279;0.873721301555634;-0.0325978621840477;3.76030778884888;0.376200914382935;1.82468152046204;129.655944824219;38.447322845459
Lophostemon confertus;85.3651733398438;29.2618465423584;98.6557235717773;32.8943099975586;17.0830326080322;0.446555823087692;-0.04264285415411;4.26273918151855;0.0840497016906738;2.27093482017517;130.929092407227;39.7365493774414
Lophostemon confertus;137.152893066406;40.480541229248;174.856582641602;46.4386901855469;18.6779327392578;1.44938671588898;-0.0731218680739403;3.27339649200439;0.776531279087067;2.14704966545105;126.333518981934;37.3385734558105
Lophostemon confertus;100.955993652344;37.9215469360352;136.039520263672;53.8133811950684;21.8672657012939;0.509593963623047;-0.0850352048873901;3.13481903076172;0.800312697887421;2.29932022094727;129.248580932617;36.7381477355957
Lophostemon confertus;164.241058349609;37.6603965759277;202.624618530273;44.3108749389648;24.7123508453369;3.81941628456116;-0.0646721795201302;2.38740682601929;0.735906660556793;1.2710223197937;126.618438720703;36.0489845275879
Lophostemon confertus;153.167602539063;35.1496505737305;171.140777587891;36.9546203613281;21.0355587005615;5.96500015258789;-0.0344471074640751;3.75547862052917;0.516435980796814;1.96920728683472;122.72004699707;39.9060363769531
Lophostemon confertus;85.0122451782227;32.5724105834961;97.3982925415039;45.4661445617676;28.9172496795654;0.378380924463272;-0.0390356630086899;3.09595537185669;0.629034221172333;1.99599325656891;128.835891723633;37.942554473877
Lophostemon confertus;142.428771972656;45.1610221862793;165.948883056641;47.7770538330078;20.1164131164551;4.35785675048828;-0.0458725094795227;3.03815913200378;0.763413190841675;1.62492144107819;125.224876403809;37.7331314086914
Lophostemon confertus;144.182586669922;34.3571434020996;179.834503173828;38.1314964294434;18.3900146484375;1.78871893882751;-0.0660854429006577;2.04082274436951;0.620726883411407;1.3655651807785;125.837493896484;37.3998031616211
Lophostemon confertus;121.565605163574;40.4072799682617;132.568984985352;47.2978248596191;22.8420925140381;0.735554873943329;-0.026499193161726;2.00697088241577;0.698890745639801;0.947890818119049;126.971466064453;36.619873046875
Lophostemon confertus;147.817092895508;37.9583587646484;211.643020629883;37.7021865844727;21.5761604309082;0.576429188251495;-0.107870452105999;2.45998597145081;0.434684723615646;1.10591781139374;124.733024597168;37.1991004943848
Lophostemon confertus;147.677368164063;30.4236125946045;191.645385742188;36.6091690063477;19.9046478271484;5.60506629943848;-0.0784439891576767;2.4560534954071;0.313939243555069;1.11087429523468;125.969429016113;36.6346168518066
Lophostemon confertus;158.865905761719;34.1073226928711;201.690185546875;35.4210014343262;16.8357391357422;2.10707211494446;-0.0720728784799576;2.49569344520569;0.30336919426918;1.58827257156372;125.146865844727;37.082763671875
Lophostemon confertus;159.214004516602;46.0432014465332;211.036880493164;41.8796195983887;20.3466014862061;3.2803328037262;-0.0863988921046257;1.87434840202332;0.281441450119019;0.91040426492691;126.157829284668;35.240406036377
Lophostemon confertus;145.613677978516;37.4161987304688;212.980346679688;39.6812973022461;21.8185043334961;4.21811008453369;-0.113575771450996;1.69229733943939;0.471853941679001;1.32700955867767;125.489501953125;36.4831695556641
Lophostemon confertus;108.386573791504;43.5790481567383;132.995101928711;52.026309967041;19.7090721130371;4.78646087646484;-0.0588252954185009;2.0751314163208;0.727099895477295;1.18605661392212;127.009590148926;37.2487335205078
Lophostemon confertus;67.6205749511719;39.2025451660156;71.3907318115234;45.7537803649902;20.1733055114746;2.20928525924683;-0.0167727191001177;4.3074803352356;0.794254541397095;2.16892385482788;129.534255981445;38.7777252197266
Lophostemon confertus;123.184501647949;46.7743110656738;135.648010253906;54.6520309448242;18.1687602996826;3.39174604415894;-0.0302586238831282;4.17673063278198;0.871910393238068;2.24884271621704;125.780647277832;38.0178070068359
Lophostemon confertus;163.764465332031;46.0006561279297;183.74592590332;46.2652435302734;19.419885635376;3.32833886146545;-0.0363268032670021;3.02411150932312;0.562326371669769;2.01768231391907;124.807540893555;37.5110168457031
Lophostemon confertus;145.821182250977;43.1169013977051;183.583877563477;46.320255279541;19.3507690429688;1.3125913143158;-0.0704808458685875;2.16337442398071;0.712754547595978;1.2710235118866;126.363510131836;36.5493965148926
